ID,Signatur/shelfmark,Verfasser*in,Verfasser*in GND,Beteiligte/contributor,Beteiligte GND,Schreiberhand,Titel [Vorlage]/title [on document],Titel (fingiert/assigned),Titel (erschlossen),GND Werk (SZ),Werk Index ID,Aufschrift erstes Blatt / Identifying Inscription,"Konvoluttitel [entspricht ansonsten ""Einheitssachtitel der Werke""]",Datum [Vorlage]/date [on document],Datierung [erschlossen],Date supplied/verified,Datum [normiert]/date [normalized],Sprachencode [dreistellig],"Art, Umfang, Anzahl",Physical Description,Paginierung,Pagination,Beschreibstoff [wenn ungewöhnlich],Writing material (when important or unusual),Schreibstoff,Writing Instrument,Entstehungsort/place of creation,Provenienz/provenance,Erwerbung/acquisition,Ordnungskategorie [classification],Classification,Publikationsangabe,Personenschlagwort,GND Personenschlagwort,Werkschlagwort Dritte,GND Werkschlagwort Dritte,GND Standort,Hinweis,Notes/Statement,INTERNE HINWEISE
14,SZ-AAP/W-AA-N,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze N,,,,,,Register N,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
15,SZ-AAP/W-AA-O,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze O,,,,,,Register O,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
16,SZ-AAP/W-AA-P,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard; Unbekannt",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579; ,"Erwin Rieger, Richard Friedenthal, Unbekannt",Aufsätze P,,,,,,Register P,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, rote Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
17,SZ-AAP/W-AA-R,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze R,,,,,,Register R,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
18,SZ-AAP/W-AA-S,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze S,,,,,,Register S,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
19,SZ-AAP/W-AA-SCH,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze SCH,,,,,,Register SCH,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
20,SZ-AAP/W-AA-ST,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze ST,,,,,,Register ST,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
21,SZ-AAP/W-AA-T,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze T,,,,,,Register T,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
22,SZ-AAP/W-AA-U,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze U,,,,,,Register U,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
23,SZ-AAP/W-AA-V,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze V,,,,,,Register V,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
24,SZ-AAP/W-AA-W,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze W,,,,,,Register W,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
25,SZ-AAP/W-AA-Y-Z,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard; Unbekannt",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579; ,"Erwin Rieger, Richard Friedenthal, Unbekannt",Aufsätze Y,,,,,,Register Y-Z,,,,,ger,"Typoskript, 1 Blatt, korrigiert",,,,,,"violette Tinte, Bleistift, rote Tinte, schwarze Tinte",,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,,,,,,,http://d-nb.info/gnd/1047605287,,,
26,SZ-AAP/W-AA1.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Algier,,,,,,Algier,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Jean Jacques Rousseau | (Doppelaufsatz)""",,
27,SZ-AAP/W-AA2.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Ambrosi,,,,,,Ambrosi,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Ambrosi, Gustinus",http://d-nb.info/gnd/118502433,,,http://d-nb.info/gnd/1047605287,,,
28,SZ-AAP/W-AA2.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Meingast, Anna",http://d-nb.info/gnd/1080163751,Anna Meingast,,,Gustinus Ambrosi,,,,Ambrosi,,[1923],,1923,ger,"Typoskript, 3 Blatt, korrigiert",,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,"Ausstellung Gustinus Ambrosi im Kunstmuseum. August–September 1923. St. Gallen: H.Tschudy & Co., 1923. S.7–9","Ambrosi, Gustinus",http://d-nb.info/gnd/118502433,,,http://d-nb.info/gnd/1047605287,,,
29,SZ-AAP/W-AA3.0,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579; ,"Erwin Rieger, Richard Friedenthal, Unbekannt",Amerika,,,,,,Amerika,,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, Bleistift, schwarze Tinte, rote Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
30,SZ-AAP/W-AA3.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Bei den Franzosen in Canada,,,,,,Amerika,25. MRZ 1911,,,1911-03-25,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Frankfurt a. M.,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Frankfurter Zeitung, 25. 3. 1911",,,,,http://d-nb.info/gnd/1047605287,"Mit angehängter Quellenangabe: Zeitungsausschnittdienst ""Observer"", Wien",,
31,SZ-AAP/W-AA3.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Der Rhythmus von Newyork,,,,,,Amerika,2. V. 1911,,,1911-05-02,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 3. 5. 1911",,,,,http://d-nb.info/gnd/1047605287,,,
32,SZ-AAP/W-AA3.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Politische Eindrücke von einer mexikanischen Reise,,,,,,Amerika,26. IV. 1911,,,1911-04-26,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 2,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 26. 4. 1911",,,,,http://d-nb.info/gnd/1047605287,,,
33,SZ-AAP/W-AA3.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Die Stunde zwischen zwei Ozeanen. Der Panamakanal,,,,,,Amerika,5. VII. 1911,,,1911-07-05,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 5. 7. 1911",,,,,http://d-nb.info/gnd/1047605287,,,
34,SZ-AAP/W-AA3.5,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Parsifal in New York,,,,,Merker 20.,Amerika,,[10. 7. 1911],,1911-07-10,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 55 und 56,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Der Merker, Wien, 10. 7. 1911",,,,,http://d-nb.info/gnd/1047605287,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SZ-AAP/W-AA103.0,Unbekannt,,"Friedenthal, Richard",http://d-nb.info/gnd/118535579,"Richard Friedenthal, Unbekannt",Jüdische Arbeiten,,,,,,Jüdische Arbeiten,,,,,ger,"Manuskript, 1 Blatt, korrigiert",,,,,,"Violette Tinte, Bleistift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
48,SZ-AAP/W-AA103.1.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Friedenthal, Richard",http://d-nb.info/gnd/118535579,Richard Friedenthal,Das Haus der tausend Schicksale,,,,,"Jüdische Revue, Prag",Jüdische Arbeiten,Sept. 1937,,,1937-09,ger,"Zeitungsausschnitt, 3 Blatt",,Seite 552 bis 556,,,,Violette Tinte,,Prag,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Jüdische Revue, Prag, September 1937",,,,,http://d-nb.info/gnd/1047605287,,,
49,SZ-AAP/W-AA103.1.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Friedenthal, Richard",http://d-nb.info/gnd/118535579,Richard Friedenthal,Das Haus der tausend Schicksale,,,,,"Hilfsverein deutschsprechender Juden, Buenos Aires",Jüdische Arbeiten,I. III. 1937,,,1937-03-01,ger,"Zeitungsausschnitt, 6 Blatt, 2 Exemplare",,Seite 9 bis 13,,,,Violette Tinte,,Buenos Aires,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Mitteilungsblatt des Hilfsvereins deutschsprechender Juden, Buenos Aires, 1. 3. 1937",,,,,http://d-nb.info/gnd/1047605287,,,
50,SZ-AAP/W-AA103.1.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,The House of a Thousand Destinies,,,,,,Jüdische Arbeiten,,1937,,1937,eng,"Typoskript, 5 Blatt",,Seite 2 bis 5,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,,,,,http://d-nb.info/gnd/1047605287,,,
51,SZ-AAP/W-AA103.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Friedenthal, Richard",http://d-nb.info/gnd/118535579,Richard Friedenthal,Eine unveröffentlichte Ansprache,,,,,"Hilfsverein deutschsprechender Juden, Buenos Aires",Jüdische Arbeiten,1. 10. 1936,,,1936-10-01,ger,"Zeitungsausschnitt, 10 Blatt, 2 Exemplare",,Seite 7 bis 16,,,,Bleistift,,Buenos Aires,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Mitteilungsblatt des Hilfsvereins deutschsprechender Juden, Buenos Aires, 1. 10. 1936",,,,,http://d-nb.info/gnd/1047605287,,,
52,SZ-AAP/W-AA103.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Stephan Zweig an Joseph Leftwich: Stellungnahme zur Jto,,,,,,Jüdische Arbeiten,27. November 1936,,,1936-11-27,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 2,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Kraft aus dem Boden! Organ der Freiland-Liga Jüdische Territorial-Organisation Österreichs, Wien, 27. 11. 1936","Leftwich, Joseph",http://d-nb.info/gnd/1037749278,What will happen to the Jews?,https://d-nb.info/1032749288,http://d-nb.info/gnd/1047605287,,,
53,SZ-AAP/W-AA103.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Friedenthal, Richard",http://d-nb.info/gnd/118535579,Richard Friedenthal,Für das Inter-aid committee for children from Germany,,,,,London 1937,Jüdische Arbeiten,1937,,,1937,ger,"Typoskript, 3 Blatt",,Seite 2 und 3,,,,Violette Tinte,,London,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,,,,,http://d-nb.info/gnd/1047605287,,,
54,SZ-AAP/W-AA103.5,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Für die Maccabi-Association, London",,,,,,Jüdische Arbeiten,Okt. 1937,,,1937-10,ger,"Typoskript, 2 Blatt",,,,,,Blauer Buntstift,,London,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,,,,,http://d-nb.info/gnd/1047605287,,,
55,SZ-AAP/W-AA103.6,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,Whither Jewry?,,,,,Jüdische Arbeiten,,1935,,1935,ger,"Manuskript, 4 Blatt",,Seite 2 bis 4,,,,Violette Tinte,,London,Archiv Atrium Press,Ankauf Christie's London 2014,Manuskripte,,,"Leftwich, Joseph",http://d-nb.info/gnd/1037749278,,,http://d-nb.info/gnd/1047605287,"Fragment einer Rede für ein Symposium der jiddischen Zeitschrift Das Yiddishe Vort in London 1935, dort von Joseph Leftwich in einer von ihm übersetzten Fassung verlesen.",,
56,SZ-AAP/W-AA103.7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Aufruf für die österreichischen Juden,,,,,,Jüdische Arbeiten,1938,,,1938,ger,"Typoskript, 2 Blatt, korrigiert",,,,,,"Blauer Buntstift, rote Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,,,,,http://d-nb.info/gnd/1047605287,,,
57,SZ-AAP/W-AA103.8,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,,"""In der schweren Zeitspanne, die wir durchschreiten, ...""",,,,II,Jüdische Arbeiten,,,,,ger,"Typoskript, 5 Blatt",,Seite 2 bis 5,,,,Bleistift,,,Archiv Atrium Press,Ankauf Christie's London 2014,,,,,,,,http://d-nb.info/gnd/1047605287,,,
58,SZ-AAP/W-AA103.9,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,"Für die ""Fraie Tribune"", Paris",,,,,,Jüdische Arbeiten,Dezember 1938.,,,1938-12,ger,"Typoskript, 3 Blatt, korrigiert",,Seite 2 und 3,,,,Violette Tinte,,Paris,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,"Oyfn Sheydveg (Au carrefour), Paris, Nr. 1 (April 1939), S. 103-105. ",,,,,http://d-nb.info/gnd/1047605287,,,
59,SZ-AAP/W-AA103.10,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Gegenwart und Zukunft der jüdischen Literatur. Eine Umfrage,,,,,,Jüdische Arbeiten,,September 1936,,1936-09,ger,"Zeitungsausschnitt, 2 Blatt",,Seite 264 und 265,,,,Blaue Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Der Morgen, Berlin, Jg. 12, Nr. 9 (September 1936), S. 264-265.",,,,,http://d-nb.info/gnd/1047605287,,,
60,SZ-AAP/W-AA103.11,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Keep out of Politics!,,,,,"Query Book 2, 1938",Jüdische Arbeiten,1938,,,1938,eng,"Zeitungsausschnitt, 1 Blatt",,Seite 77 und 78,,,,Violette Tinte,,London,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Query, London, Nr. 1/2 (Juli 1938), Book 2 (The Jews), S. 77",,,,,http://d-nb.info/gnd/1047605287,,,
61,SZ-AAP/W-AA104.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Jusquauboutismus, Gegen den",,,,,,"Jusquauboutismus, Gegen den",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Die Kathedrale von Chartres""",,
62,SZ-AAP/W-AA105.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Gedächtnis eines deutschen Menschen,,,,,Im Jahrbuch v. Heuschele | Dr Ami Kammerer Hamburg,Kaemmerer,,1927,,1927,ger,"Typoskript, 3 Blatt",,Seite 2 und 3,,,,Schwarze Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,"Die Ausfahrt. Ein Buch deutscher Dichtung, Reihe 1, hrsg. von Otto Heuschele, Stuttgart: Silberburg, 1927. S. 5-8.","Kaemmerer, Ami",http://d-nb.info/gnd/1217682775,,,http://d-nb.info/gnd/1047605287,,,
63,SZ-AAP/W-AA106.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Kainz, Josef",,,,,,"Kainz, Josef",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Kainz, Josef",http://d-nb.info/gnd/118559389,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Josef Kainz | In memoriam J. K. | Titel | Die Stimme""",,
64,SZ-AAP/W-AA107.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Kampf um den Suezkanal, Der",,,,,,"Kampf um den Suezkanal, Der",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
