Fördernehmer,ID,Type,Ressourcenadresse,KontextadresseTitel,Language,Date,Creator,Contributor
LAS Salzburg,o:szd.132,Personal Document,https://gams.uni-graz.at/o:szd.132,https://gams.uni-graz.at/o:szd.132/DC,"Vertrag AMÉRICO FRAGA LAMARES LIVRARIA CIVILIZAÇÃO, SZ-AAP/L13.55",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.129,Personal Document,https://gams.uni-graz.at/o:szd.129,https://gams.uni-graz.at/o:szd.129/DC,"Vertrag Américo Fraga Lamares u. Ca. Lda. LIVRARIA CIVILIZAÇÃO, SZ-AAP/L13.52",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.148,Personal Document,https://gams.uni-graz.at/o:szd.148,https://gams.uni-graz.at/o:szd.148/DC,"Schreibmaschin-Zubehör, SZ-SAM/L14",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.126,Personal Document,https://gams.uni-graz.at/o:szd.126,https://gams.uni-graz.at/o:szd.126/DC,"Vertrag Eugen Relgis, SZ-AAP/L13.49",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.136,Personal Document,https://gams.uni-graz.at/o:szd.136,https://gams.uni-graz.at/o:szd.136/DC,"Vertrag Aktiebolaget Skoglunds Bokförlag, SZ-AAP/L13.59",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.157,Personal Document,https://gams.uni-graz.at/o:szd.157,https://gams.uni-graz.at/o:szd.157/DC,"Briefumschlag, SZ-SAM/L7",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.113,Personal Document,https://gams.uni-graz.at/o:szd.113,https://gams.uni-graz.at/o:szd.113/DC,"Verlagsvertrag Oy Suomen Kirja, SZ-AAP/L13.36",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.121,Personal Document,https://gams.uni-graz.at/o:szd.121,https://gams.uni-graz.at/o:szd.121/DC,"Vertrag Wydawnictwo J. Przeworskiego, SZ-AAP/L13.44",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.145,Personal Document,https://gams.uni-graz.at/o:szd.145,https://gams.uni-graz.at/o:szd.145/DC,"Rückerstattung der Postfachgebühren, SZ-SAM/L11",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.124,Personal Document,https://gams.uni-graz.at/o:szd.124,https://gams.uni-graz.at/o:szd.124/DC,"Verlagsvertrag Eugen Relgis, SZ-AAP/L13.47",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.131,Personal Document,https://gams.uni-graz.at/o:szd.131,https://gams.uni-graz.at/o:szd.131/DC,"Vertrag LIVRARIA CIVILIZAÇÃO de Américo Fraga Lamares, SZ-AAP/L13.54",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.155,Personal Document,https://gams.uni-graz.at/o:szd.155,https://gams.uni-graz.at/o:szd.155/DC,"Ex Libris, SZ-SAM/L5",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.66,Personal Document,https://gams.uni-graz.at/o:szd.66,https://gams.uni-graz.at/o:szd.66/DC,"Tagebuch September 1912 und Frühjahr 1913 (Paris), SZ-AAP/L1",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.67,Personal Document,https://gams.uni-graz.at/o:szd.67,https://gams.uni-graz.at/o:szd.67/DC,"Tagebuch im Kriegsjahr 1914, SZ-AAP/L2",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.68,Personal Document,https://gams.uni-graz.at/o:szd.68,https://gams.uni-graz.at/o:szd.68/DC,"Tagebuch aus dem Kriegsjahr 1915. Zweiter Band, SZ-AAP/L3",de,1915-05-01,"Zweig, Stefan",
LAS Salzburg,o:szd.69,Personal Document,https://gams.uni-graz.at/o:szd.69,https://gams.uni-graz.at/o:szd.69/DC,"Notizbuch „1914 oder 15“, SZ-AAP/L4",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.70,Personal Document,https://gams.uni-graz.at/o:szd.70,https://gams.uni-graz.at/o:szd.70/DC,"Tagebuch in der Schweiz 1917, SZ-AAP/L5",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.71,Personal Document,https://gams.uni-graz.at/o:szd.71,https://gams.uni-graz.at/o:szd.71/DC,"Notizbuch „Reise nach Brasilien und Argentinien“, SZ-AAP/L10",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.72,Personal Document,https://gams.uni-graz.at/o:szd.72,https://gams.uni-graz.at/o:szd.72/DC,"Tagebuch 1918, SZ-AAP/L6",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.73,Personal Document,https://gams.uni-graz.at/o:szd.73,https://gams.uni-graz.at/o:szd.73/DC,"Tagebuch 1931, SZ-AAP/L7",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.74,Personal Document,https://gams.uni-graz.at/o:szd.74,https://gams.uni-graz.at/o:szd.74/DC,"Diary of the second war, SZ-AAP/L8",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.75,Personal Document,https://gams.uni-graz.at/o:szd.75,https://gams.uni-graz.at/o:szd.75/DC,"Notebook war 1940, SZ-AAP/L9",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.76,Personal Document,https://gams.uni-graz.at/o:szd.76,https://gams.uni-graz.at/o:szd.76/DC,"Notizbuch Paris 1936, SZ-AAP/L11",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.77,Personal Document,https://gams.uni-graz.at/o:szd.77,https://gams.uni-graz.at/o:szd.77/DC,"Notizen über Newyork 1935/1938, SZ-AAP/L12",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.78,Personal Document,https://gams.uni-graz.at/o:szd.78,https://gams.uni-graz.at/o:szd.78/DC,"Verlagsvertrag Grasset, SZ-AAP/L13.1",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.79,Personal Document,https://gams.uni-graz.at/o:szd.79,https://gams.uni-graz.at/o:szd.79/DC,"Verlagsvertrag Casa Editrice A. Mondadori, SZ-AAP/L13.2",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.80,Personal Document,https://gams.uni-graz.at/o:szd.80,https://gams.uni-graz.at/o:szd.80/DC,"Verlagsvertrag Przeworski, SZ-AAP/L13.3",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.81,Personal Document,https://gams.uni-graz.at/o:szd.81,https://gams.uni-graz.at/o:szd.81/DC,"Verlagsvertrag Forum Verlag, SZ-AAP/L13.4",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.82,Personal Document,https://gams.uni-graz.at/o:szd.82,https://gams.uni-graz.at/o:szd.82/DC,"Verlagsvertrag Cassel u. Company, Limited, SZ-AAP/L13.5",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.83,Personal Document,https://gams.uni-graz.at/o:szd.83,https://gams.uni-graz.at/o:szd.83/DC,"Verlagsvertrag Cassel u. Company, Limited, SZ-AAP/L13.6",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.84,Personal Document,https://gams.uni-graz.at/o:szd.84,https://gams.uni-graz.at/o:szd.84/DC,"Vereinbarung Editorial Atenea, SZ-AAP/L13.7",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.85,Personal Document,https://gams.uni-graz.at/o:szd.85,https://gams.uni-graz.at/o:szd.85/DC,"Vertrag Wremja, SZ-AAP/L13.8",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.86,Personal Document,https://gams.uni-graz.at/o:szd.86,https://gams.uni-graz.at/o:szd.86/DC,"Verlagsvertrag MM.F.RIEDER u. CO, Editeurs, SZ-AAP/L13.9",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.87,Personal Document,https://gams.uni-graz.at/o:szd.87,https://gams.uni-graz.at/o:szd.87/DC,"Verlagsvertrag Les Editions Bernard Grasset, SZ-AAP/L13.10",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.88,Personal Document,https://gams.uni-graz.at/o:szd.88,https://gams.uni-graz.at/o:szd.88/DC,"Verlagsvertrag Les Éditions Bernard Grasset, SZ-AAP/L13.11",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.89,Personal Document,https://gams.uni-graz.at/o:szd.89,https://gams.uni-graz.at/o:szd.89/DC,"Vertrag Sperling u. Kupfer S.A., SZ-AAP/L13.12",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.90,Personal Document,https://gams.uni-graz.at/o:szd.90,https://gams.uni-graz.at/o:szd.90/DC,"Vertrag Sperling u. Kupfer, SZ-AAP/L13.13",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.91,Personal Document,https://gams.uni-graz.at/o:szd.91,https://gams.uni-graz.at/o:szd.91/DC,"Contratto Sperling u. Kupfer, SZ-AAP/L13.14",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.92,Personal Document,https://gams.uni-graz.at/o:szd.92,https://gams.uni-graz.at/o:szd.92/DC,"Vertrag Rózsavölgyi u. Comp., SZ-AAP/L13.15",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.93,Personal Document,https://gams.uni-graz.at/o:szd.93,https://gams.uni-graz.at/o:szd.93/DC,"Vereinbarung Rózsavölgyi u. Comp., SZ-AAP/L13.16",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.94,Personal Document,https://gams.uni-graz.at/o:szd.94,https://gams.uni-graz.at/o:szd.94/DC,"Verlags-Vertrag Pantheon Literarische Anstalt A.G., SZ-AAP/L13.17",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.95,Personal Document,https://gams.uni-graz.at/o:szd.95,https://gams.uni-graz.at/o:szd.95/DC,"Verlagsvertrag Athenaeum Publishing And Printing Establishment Limited, SZ-AAP/L13.18",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.96,Personal Document,https://gams.uni-graz.at/o:szd.96,https://gams.uni-graz.at/o:szd.96/DC,"Agreement The Viking Press, SZ-AAP/L13.19",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.97,Personal Document,https://gams.uni-graz.at/o:szd.97,https://gams.uni-graz.at/o:szd.97/DC,"Agreement THE VIKING PRESS, INC., SZ-AAP/L13.20",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.98,Personal Document,https://gams.uni-graz.at/o:szd.98,https://gams.uni-graz.at/o:szd.98/DC,"Agreement THE VIKING PRESS, INC., SZ-AAP/L13.21",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.99,Personal Document,https://gams.uni-graz.at/o:szd.99,https://gams.uni-graz.at/o:szd.99/DC,"Agreement THE VIKING PRESS, INC., SZ-AAP/L13.22",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.100,Personal Document,https://gams.uni-graz.at/o:szd.100,https://gams.uni-graz.at/o:szd.100/DC,"Agreement Longmans, Green u. Co. Inc., SZ-AAP/L13.23",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.101,Personal Document,https://gams.uni-graz.at/o:szd.101,https://gams.uni-graz.at/o:szd.101/DC,"Agreement THE VIKING PRESS, INC., SZ-AAP/L13.24",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.102,Personal Document,https://gams.uni-graz.at/o:szd.102,https://gams.uni-graz.at/o:szd.102/DC,"Agreement THE VIKING PRESS, INC., SZ-AAP/L13.25",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.103,Personal Document,https://gams.uni-graz.at/o:szd.103,https://gams.uni-graz.at/o:szd.103/DC,"Vertrag Editorial APOLO, BARCELONA, SZ-AAP/L13.26",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.104,Personal Document,https://gams.uni-graz.at/o:szd.104,https://gams.uni-graz.at/o:szd.104/DC,"Vertrag „Editorial Apolo“ Barcelona, SZ-AAP/L13.27",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.105,Personal Document,https://gams.uni-graz.at/o:szd.105,https://gams.uni-graz.at/o:szd.105/DC,"Vertrag Editorial Juventud S.A., SZ-AAP/L13.28",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.106,Personal Document,https://gams.uni-graz.at/o:szd.106,https://gams.uni-graz.at/o:szd.106/DC,"Vertrag Juan Carlos Torrendell, SZ-AAP/L13.29",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.107,Personal Document,https://gams.uni-graz.at/o:szd.107,https://gams.uni-graz.at/o:szd.107/DC,"Vertrag Jespersen og Pios Forlag, SZ-AAP/L13.30",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.108,Personal Document,https://gams.uni-graz.at/o:szd.108,https://gams.uni-graz.at/o:szd.108/DC,"Vertrag Grønbech's Forlag, SZ-AAP/L13.31",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.109,Personal Document,https://gams.uni-graz.at/o:szd.109,https://gams.uni-graz.at/o:szd.109/DC,"Vertrag Jespersen og Pios Forlag, SZ-AAP/L13.32",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.110,Personal Document,https://gams.uni-graz.at/o:szd.110,https://gams.uni-graz.at/o:szd.110/DC,"Vertrag Jespersen og Pios Forlag, SZ-AAP/L13.33",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.120,Personal Document,https://gams.uni-graz.at/o:szd.120,https://gams.uni-graz.at/o:szd.120/DC,"Vertrag Wydawnictwo J. Przeworskiego, SZ-AAP/L13.43",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.169,Personal Document,https://gams.uni-graz.at/o:szd.169,https://gams.uni-graz.at/o:szd.169/DC,"Schulnachricht, SZ-SEF/L2",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.170,Personal Document,https://gams.uni-graz.at/o:szd.170,https://gams.uni-graz.at/o:szd.170/DC,"Promotionskarte, SZ-SEF/L3",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.171,Personal Document,https://gams.uni-graz.at/o:szd.171,https://gams.uni-graz.at/o:szd.171/DC,"Ansichtspostkarte mit Gruppenbild aus dem Wiener Wurstelprater, SZ-SEF/L4",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.172,Personal Document,https://gams.uni-graz.at/o:szd.172,https://gams.uni-graz.at/o:szd.172/DC,"Ex Libris, SZ-SEF/L5",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.173,Personal Document,https://gams.uni-graz.at/o:szd.173,https://gams.uni-graz.at/o:szd.173/DC,"Kuvert Testament, SZ-SEF/L7",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.174,Personal Document,https://gams.uni-graz.at/o:szd.174,https://gams.uni-graz.at/o:szd.174/DC,"Adressbuch [ca. 1935-1940], SZ-AP2/L-S1.1",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.175,Personal Document,https://gams.uni-graz.at/o:szd.175,https://gams.uni-graz.at/o:szd.175/DC,"Register der Aufsätze, SZ-AP2/L-S12",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.176,Personal Document,https://gams.uni-graz.at/o:szd.176,https://gams.uni-graz.at/o:szd.176/DC,"Siegelstempel mit den Initialen „SZ“, SZ-AP2/L-S13",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.177,Personal Document,https://gams.uni-graz.at/o:szd.177,https://gams.uni-graz.at/o:szd.177/DC,"Anekdoten über St. Z., SZ-AP2/L-S2.1",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.178,Personal Document,https://gams.uni-graz.at/o:szd.178,https://gams.uni-graz.at/o:szd.178/DC,"Rede über Stefan Zweig [I], SZ-AP2/L-S5.1",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.179,Personal Document,https://gams.uni-graz.at/o:szd.179,https://gams.uni-graz.at/o:szd.179/DC,"Rede über Stefan Zweig [II], SZ-AP2/L-S5.2",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.180,Personal Document,https://gams.uni-graz.at/o:szd.180,https://gams.uni-graz.at/o:szd.180/DC,"Geburtsschein Lotte Zweig, SZ-AP2/L-S6.1",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.181,Personal Document,https://gams.uni-graz.at/o:szd.181,https://gams.uni-graz.at/o:szd.181/DC,"Heimat-Schein, SZ-AP2/L-S7.1",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.182,Personal Document,https://gams.uni-graz.at/o:szd.182,https://gams.uni-graz.at/o:szd.182/DC,"Certificate of Naturalization, SZ-AP2/L-S7.10",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.183,Personal Document,https://gams.uni-graz.at/o:szd.183,https://gams.uni-graz.at/o:szd.183/DC,"Enteignungspapiere, SZ-AP2/L-S7.12",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.184,Personal Document,https://gams.uni-graz.at/o:szd.184,https://gams.uni-graz.at/o:szd.184/DC,"Liste mit wichtigen Daten und persönlichen Papieren, SZ-AP2/L-S7.13",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.185,Personal Document,https://gams.uni-graz.at/o:szd.185,https://gams.uni-graz.at/o:szd.185/DC,"Beglaubigung einer Kopie der Geburtsurkunde von Stefan Zweig, SZ-AP2/L-S7.14",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.186,Personal Document,https://gams.uni-graz.at/o:szd.186,https://gams.uni-graz.at/o:szd.186/DC,"Vollmacht Johanna Altmann, SZ-AP2/L-S7.15",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.187,Personal Document,https://gams.uni-graz.at/o:szd.187,https://gams.uni-graz.at/o:szd.187/DC,"Mitteilung des britischen Home Office, SZ-AP2/L-S7.2",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.188,Personal Document,https://gams.uni-graz.at/o:szd.188,https://gams.uni-graz.at/o:szd.188/DC,"Power of Attorney [The Viking Press] | Vollmacht, SZ-AP2/L-S7.4",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.189,Personal Document,https://gams.uni-graz.at/o:szd.189,https://gams.uni-graz.at/o:szd.189/DC,"Vertrag zum Hausverkauf, SZ-AP2/L-S7.5",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.191,Personal Document,https://gams.uni-graz.at/o:szd.191,https://gams.uni-graz.at/o:szd.191/DC,"Certificate of Identity, SZ-AP2/L-S7.7",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.192,Personal Document,https://gams.uni-graz.at/o:szd.192,https://gams.uni-graz.at/o:szd.192/DC,"Bescheid über die Judenvermögensabgabe, SZ-AP2/L-S7.8",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.193,Personal Document,https://gams.uni-graz.at/o:szd.193,https://gams.uni-graz.at/o:szd.193/DC,"Certified Copy of an Entry of Marriage, SZ-AP2/L-S7.9",de,,"Zweig, Stefan",Entry of Marriage
LAS Salzburg,o:szd.194,Personal Document,https://gams.uni-graz.at/o:szd.194,https://gams.uni-graz.at/o:szd.194/DC,"Briefregister [I], SZ-AP2/L-S9.1",de,,"Zweig, Stefan",
LAS Salzburg,o:szd.195,Personal Document,https://gams.uni-graz.at/o:szd.195,https://gams.uni-graz.at/o:szd.195/DC,"Briefregister [II], SZ-AP2/L-S9.2",de,,"Zweig, Stefan",
