ID,Signatur/shelfmark,Verfasser*in,Verfasser*in GND,Beteiligte/contributor,Beteiligte GND,Schreiberhand,Titel [Vorlage]/title [on document],Titel (fingiert/assigned),Titel (erschlossen),GND Werk (SZ),Werk Index ID,Aufschrift erstes Blatt / Identifying Inscription,"Konvoluttitel [entspricht ansonsten ""Einheitssachtitel der Werke""]",Datum [Vorlage]/date [on document],Datierung erschlossen,Date supplied/verified,Datum [normiert]/date [normalized],Sprachencode [dreistellig],"Art, Umfang, Anzahl",Physical Description,Paginierung,Pagination,Beschreibstoff [wenn ungewöhnlich],Writing material (when important or unusual),Schreibstoff,Writing Instrument,Entstehungsort/place of creation,Provenienz/provenance,Erwerbung/acquisition,Ordnungskategorie [classification],Classification,Publikationsangabe,Personenschlagwort,GND Personenschlagwort,Werkschlagwort Dritte,GND Werkschlagwort Dritte,GND Standort,Hinweis,Notes/Statement,INTERNE HINWEISE
11,SZ-AAP/W-AA-K,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze K,,,,,,Register K,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
12,SZ-AAP/W-AA-L,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze L,,,,,,Register L,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
13,SZ-AAP/W-AA-M,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze M,,,,,,Register M,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
14,SZ-AAP/W-AA-N,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze N,,,,,,Register N,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
15,SZ-AAP/W-AA-O,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze O,,,,,,Register O,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
16,SZ-AAP/W-AA-P,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard; Unbekannt",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579; ,"Erwin Rieger, Richard Friedenthal, Unbekannt",Aufsätze P,,,,,,Register P,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, rote Tinte","Purple ink, red ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
17,SZ-AAP/W-AA-R,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze R,,,,,,Register R,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
18,SZ-AAP/W-AA-S,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze S,,,,,,Register S,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
19,SZ-AAP/W-AA-SCH,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze SCH,,,,,,Register SCH,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
20,SZ-AAP/W-AA-ST,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze ST,,,,,,Register ST,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
21,SZ-AAP/W-AA-T,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze T,,,,,,Register T,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
22,SZ-AAP/W-AA-U,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze U,,,,,,Register U,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
23,SZ-AAP/W-AA-V,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze V,,,,,,Register V,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
24,SZ-AAP/W-AA-W,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597; ,"Erwin Rieger, Unbekannt",Aufsätze W,,,,,,Register W,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, schwarze Tinte","Purple ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
25,SZ-AAP/W-AA-Y-Z,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard; Unbekannt",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579; ,"Erwin Rieger, Richard Friedenthal, Unbekannt",Aufsätze Y,,,,,,Register Y-Z,,,,,ger,"Typoskript, 1 Blatt, korrigiert","Typescript, 1 leaf, corrected",,,,,"Schwarzes Farbband, violette Tinte, Bleistift, rote Tinte, schwarze Tinte","Purple ink, pencil, red ink, black ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Register,Index,,,,,,http://d-nb.info/gnd/1047605287,,,
26,SZ-AAP/W-AA1.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Algier,,,,,,Algier,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Jean Jacques Rousseau | (Doppelaufsatz)""","Original inscription: ""Jean Jacques Rousseau | (Doppelaufsatz)""",
27,SZ-AAP/W-AA2.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Ambrosi,,,,,,Ambrosi,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Ambrosi, Gustinus",http://d-nb.info/gnd/118502433,,,http://d-nb.info/gnd/1047605287,,,
28,SZ-AAP/W-AA2.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Meingast, Anna",http://d-nb.info/gnd/1080163751,Anna Meingast,,,Gustinus Ambrosi,,,,Ambrosi,,1923,1923,1923,ger,"Typoskriptdurchschlag, 3 Blatt, korrigiert","Typescript (carbon copy), 3 leaves, corrected",,,,,"Violettes Durchschlagpapier, violette Tinte","Purple carbon paper, purple ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,"Ausstellung Gustinus Ambrosi im Kunstmuseum. August–September 1923. St. Gallen: H.Tschudy & Co., 1923. S.7–9","Ambrosi, Gustinus",http://d-nb.info/gnd/118502433,,,http://d-nb.info/gnd/1047605287,,,
29,SZ-AAP/W-AA3.0,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579; ,"Erwin Rieger, Richard Friedenthal, Unbekannt",Amerika,,,,,,Amerika,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, Bleistift, schwarze Tinte, rote Tinte","Purple ink, pencil, black ink, red ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,,,
30,SZ-AAP/W-AA3.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Bei den Franzosen in Canada.,,,,,,Amerika,25. MRZ 1911,,,1911-03-25,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,,,Frankfurt a. M.,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Frankfurter Zeitung, 25. 3. 1911",,,,,http://d-nb.info/gnd/1047605287,"Angehängt Lieferzettel des Zeitungsausschnittdienstes ""Observer"", Wien","Attached delivery note of press clipping service ""Observer"", Vienna",
31,SZ-AAP/W-AA3.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Der Rhythmus von Newyork.,,,,,,Amerika,2. V. 1911,,,1911-05-02,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Violette Tinte,Purple ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 3. 5. 1911",,,,,http://d-nb.info/gnd/1047605287,, ,
32,SZ-AAP/W-AA3.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Politische Eindrücke von einer mexikanischen Reise. Die imperialistische Politik Amerikas.,,,,,,Amerika,26. IV. 1911,,,1911-04-26,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 26. 4. 1911, S. 2",,,,,http://d-nb.info/gnd/1047605287,,,
33,SZ-AAP/W-AA3.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Die Stunde zwischen zwei Ozeanen. Der Panamakanal.,,,,,,Amerika,5. VII. 1911,,,1911-07-05,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Violette Tinte,Purple ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 5. 7. 1911",,,,,http://d-nb.info/gnd/1047605287,,,
34,SZ-AAP/W-AA3.5,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Parsifal in New York,,,,,Merker 20.,Amerika,,10. 7. 1911,10. 7. 1911,1911-07-10,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Der Merker, Wien, 10. 7. 1911, S. 55–56","Wagner, Richard",http://d-nb.info/gnd/118594117,Parsifal,http://d-nb.info/gnd/300170165,http://d-nb.info/gnd/1047605287,,,
35,SZ-AAP/W-AA4.0,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579; ,"Erwin Rieger, Richard Friedenthal, Unbekannt",d'Annunzio,,,,,,"D'Annunzio, Gabriele",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, Bleistift, schwarze Tinte, roter Kugelschreiber","Purple ink, pencil, black ink, red ballpoint",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"D'Annunzio, Gabriele",http://d-nb.info/gnd/118503243,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Aus abgesperrter Welt""","Original inscription: ""Aus abgesperrter Welt""",
36,SZ-AAP/W-AA4.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Römische Elegien.,,,,,,"D'Annunzio, Gabriele",15. 6. 1904,,,1904-06-15,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Bleistift,Pencil,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Das literarische Echo, Berlin, 15. 6. 1904, Spalte 1258","D'Annunzio, Gabriele",http://d-nb.info/gnd/118503243,Elegie romane,http://d-nb.info/gnd/4275853-1,http://d-nb.info/gnd/1047605287,,,
37,SZ-AAP/W-AA4.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Venedigs glückhaftes Schiff. Gabriele d'Annunzios: ""La Nave"".",,,,,NFrPr,"D'Annunzio, Gabriele",31/I. 1908,,,1908-01-31,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,newspaper clippings,"Neue Freie Presse, Wien, 31. 1. 1908","D'Annunzio, Gabriele",http://d-nb.info/gnd/118503243,La nave,http://d-nb.info/gnd/4271597-0,http://d-nb.info/gnd/1047605287,,,
38,SZ-AAP/W-AA5.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Asch,,,,,,"Asch, Sholem",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, schwarze Tinte","Purple ink, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Asch, Sholem",http://d-nb.info/gnd/118646036,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Asch Schalom | Geburtstagsbrief""","Original inscription: ""Asch Schalom | Geburtstagsbrief""",
39,SZ-AAP/W-AA5.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Geburtstagsgruß an Schalom Asch,,,,,,"Asch, Sholem",24. Oktober 1930,,,1930-10-24,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Die literarische Welt, Berlin, 24. 10. 1930","Asch, Sholem",http://d-nb.info/gnd/118646036,,,http://d-nb.info/gnd/1047605287,,,
40,SZ-AAP/W-AA6.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Auernheimer,,,,,,"Auernheimer, Raoul",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, Bleistift","Purple ink, pencil",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Auernheimer, Raoul",http://d-nb.info/gnd/118505033,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Raoul Auernheimer""","Original inscription: ""Raoul Auernheimer""",
41,SZ-AAP/W-AA6.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,,Auernheimer.,,,,,Leipziger Tageblatt,"Auernheimer, Raoul",26/XI. 1908,,,1908-11-26,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,"Violette Tinte, roter Buntstift","Purple ink, red crayon",Leipzig,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Leipziger Tageblatt, Leipzig, 26. 11. 1908","Auernheimer, Raoul",http://d-nb.info/gnd/118505033,,,http://d-nb.info/gnd/1047605287,,,
42,SZ-AAP/W-AA6.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,,"Fröhliche Novellen. Raoul Auernheimer: ""Der gußeiserne Herrgott.""",,,,,Leipziger N. Nachr.,"Auernheimer, Raoul",9/XII 1911,,,1911-12-09,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Schwarze Tinte,Black ink,Leipzig,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Leipziger Neueste Nachrichten, Leipzig, 9. 12. 1911","Auernheimer, Raoul",http://d-nb.info/gnd/118505033,Der gußeiserne Herrgott,,http://d-nb.info/gnd/1047605287,,,
43,SZ-AAP/W-AA6.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,,Laurenz Hallers Praterfahrt.,,,,,N. Fr Presse,"Auernheimer, Raoul",15. VII. 1913.,,,1913-07-15,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Schwarze Tinte,Black ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 15. 7. 1913","Auernheimer, Raoul",http://d-nb.info/gnd/118505033,Laurenz Hallers Praterfahrt,,http://d-nb.info/gnd/1047605287,,,
44,SZ-AAP/W-AA6.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Warum Auernheimer so bekannt und so beliebt ist,,,,,,"Auernheimer, Raoul",,1908,1908,1908,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,,"Auernheimer, Raoul",http://d-nb.info/gnd/118505033,,,http://d-nb.info/gnd/1047605287,"Der Text entspricht weitestgehend Stefan Zweigs Beitrag ""Auernheimer"" aus dem Leipziger Tageblatt, Leipzig, 26. 11. 1908","The text largely corresponds to the article ‘Auernheimer’ by Stefan Zweig in the Leipziger Tageblatt, Leipzig, 26 November 1908",
45,SZ-AAP/W-AA7.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Aufbau der neuen Generation, Der geistige",,,,,,Der geistige Aufbau der neuen Generation,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,,,
46,SZ-AAP/W-AA7.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,"Der geistige Aufbau der neuen Generation. Aus dem Vortrag ""Die moralische Entgiftung Europas"".",,,,,,Der geistige Aufbau der neuen Generation,20. November 1932,,,1932-11-20,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 20. 11. 1913, S. 3",,,,,http://d-nb.info/gnd/1047605287,"Ausschnitt aus ""Die moralische Entgiftung Europas""","Excerpt from: ""Die moralische Entgiftung Europas""",
