Verfasser*in,Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datum normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,,,,,1919-08-23,23.VIII.1919,Salzburg,,"Frans Masereel | Genève (Suisse) | 24, avenue des acacias",FRE,Postkarte,Postcard,Bleistift,Pencil,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.11,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript und Manuskript, 1 Blatt","1 letter, typescript and manuscript, 1 leaf",,,16. 10. 1919.,16. 10. 1919.,,,1919-10-16,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"Schwarzes Farbband, violette Tinte","Black ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.12,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,November 1919,November 1919,1919-11,,,Salzburg,,FRE,Briefpapier,Writing Paper,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.13,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,November 1919,November 1919,1919-11,,,Salzburg,,FRE,Briefpapier,Writing Paper,Bleistift,Pencil,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.14,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1919-12-22,22.XII.1919,Salzburg,,"Monsieur Frans Masereel | Genève (Suisse) | 42bis, route des acacias | Schweiz",FRE,"Ansichtspostkarte: ""Salzburg vom Mönchsberg (Elektr. Aufzug) aus.""","Picture postcard: ""Salzburg vom Mönchsberg (Elektr. Aufzug) aus.""",Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.15,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,Abbildung auf der Vorderseite von Zweig beschriftet.,Picture with annotation by Stefan Zweig.,,
"Zweig, Friderike",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,24. Avril 20,24. Avril 20,,,1920-04-24,,Salzburg,,,FRE,Briefpapier,Writing Paper,"Schwarze Tinte, violette Tinte","Black ink, purple ink","Friderike Zweig, Stefan Zweig",,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.16,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,Stefan Zweig,http://d-nb.info/gnd/118637479,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,Mai 1920,May 1920,1920-05,,Salzburg,,,FRE,Briefpapier Stefan Zweig,Stefan Zweig stationary,"Violette Tinte, purple Stempelfarbe","Purple ink, purple stamp ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.17,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,"Zusätzlicher Adresstempel ""Salzburg | Kapuzinerberg 5""","Additional address stamp ""Salzburg | Kapuzinerberg 5""",,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript und Manuskript, 2 Blatt","1 letter, typescript and manuscript, 2 leaves",,,10. Juli 1920,10. Juli 1920,,,1920-07-10,,Salzburg,,,GER,Briefpapier,Writing Paper,"Schwarzes Farbband, violette Tinte","Black ribbon, purple ink","Stefan Zweig, Friderike Zweig",,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.18,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,Friderike Zweig,http://d-nb.info/gnd/118637460,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Briefkarte, Manuskript, 1 Blatt","1 letter card, manuscript, 1 leaf",,,,,Juli 1920,July 1920,1920-07,,,Salzburg,,FRE,Briefkarte,Letter card,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.19,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,9. Nov. 1920,9. Nov. 1920,,,1920-11-09,,Salzburg,,,FRE,Briefpapier Stefan Zweig,Stefan Zweig stationary,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.20,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,11.XII,11.XII,,,1920-12-11,,Salzburg,,,FRE,Briefpapier Stefan Zweig,Stefan Zweig stationary,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.21,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Friderike",http://d-nb.info/gnd/118637460,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,Noël 20,Noël 20,28. Dezember 1920,28th December 1920,1920-12-28,,,Salzburg,,FRE,Briefpapier,Writing Paper,"Schwarze Tinte, violette Tinte","Black ink, purple ink","Friderike Zweig, Stefan Zweig",,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.22,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,Stefan Zweig,http://d-nb.info/gnd/118637479,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript und Manuskript, 1 Blatt","1 letter, typescript and manuscript, 1 leaf",,,2. Juli 1921.,2. Juli 1921.,,,1921-07-02,,Salzburg,,,GER,Schreibmaschinenpapier,Typewriter paper,"Blaues Farbband, blauer Buntstift, schwarze Tinte, violette Tinte","Black ribbon, blue crayon, black ink, purple ink","Stefan Zweig, Friderike Zweig",,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.23,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,Friderike Zweig,http://d-nb.info/gnd/118637460,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,Samedi,Samedi,Mai 1922,May 1922,1922-05,,Salzburg,,,FRE,Briefpapier Stefan Zweig,Stefan Zweig stationary,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.24,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,Oktober 1922,October 1922,1922-10,,,Salzburg,,FRE,Briefpapier,Writing Paper,Violette Tinte,Purple ink,"Stefan Zweig, Alix Winternitz",,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.25,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,Alix Winternitz,http://d-nb.info/gnd/1080246215,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript und Manuskript, 1 Blatt","1 letter, typescript and manuscript, 1 leaf",,,18. Juli 23.,18. Juli 23.,,,1923-07-18,,Salzburg,,,GER,Schreibmaschinenpapier,Typewriter paper,"Violettes Farbband, violette Tinte","Purple ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.26,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,26. Januar 1924,26. January 1924,1924-01-26,,Paris,,,FRE,Briefpapier Hotel Louvois,Hotel Louvois stationary,Schwarze Tinte,Black ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.27,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Manuskript, 1 Blatt","1 letter, manuscript, 1 leaf",,,,,3. Dezember 1924,3. December 1924,1924-12-03,,Paris,,,FRE,Briefpapier Hotel Beaujolais,Hotel Beaujolais stationary,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.28,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1925-11-04,4.XI.1925,Marseille,,"Frans Masereel | Paris (France) | 32, rue Lamarck",FRE,"Ansichtspostkarte: ""Marseille – Vue Générale du Vieux Port""","Picture postcard ""Marseille – Vue Générale du Vieux Port""",Bleistift,Pencil,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.29,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,Abbildung auf der Vorderseite von Zweig beschriftet.,Picture with annotation by Stefan Zweig.,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1926-10-08,8.X.1926,Salzburg,,"Mr Frans Masereel | Paris (France) | 34, rue Lamarck",FRE,Ansichtspostkarte: Ansicht der Stadt Salzburg vom Kapuzinerberg aus,Picture postcard: Ansicht der Stadt Salzburg vom Kapuzinerberg aus,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.30,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1926-10-18,18.X.1926,Salzburg,,"Frans Masereel | Paris (France) | 32, rue Lamarck",FRE,"Ansichtspostkarte: ""Salzburg 'Café Bazar'""","Picture postcard: ""Salzburg 'Café Bazar'""",Violette Tinte,Purple ink,"Stefan Zweig, Friderike Zweig, Charles Baudouin, Moriz Scheyer",,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.31,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,"Friderike Zweig, Charles Baudouin, Moriz Scheyer",http://d-nb.info/gnd/118637460; http://d-nb.info/gnd/123159296; http://d-nb.info/gnd/130144029,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript und Manuskript, 1 Blatt","1 letter, typescript and manuscript, 1 leaf",,,8. November 1926.,8. November 1926.,,,1926-11-08,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"Violettes Farbband, violette Tinte","Purple ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.32,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,,,,,1926-12-15,15.XII.1926,Salzburg,,"Frans Masereel | Paris (France) | 32, rue Lamarck",FRA,Postkarte,Postcard,Violette Tinte,Purple ink,Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.33,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,29. Juni 1928.,29. Juni 1928.,,,1928-06-29,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"Violettes Farbband, Bleistift, roter Farbstift","Purple ribbon, pencil, red crayon",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.34,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Postkarte, Manuskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,,,,,1928-09-14,14.IX.1928,Moskau,,"Paris (France) | 34, rue Lamarck | Frans Masereel",FRA,Postkarte,Postcard,"Violette Tinte, schwarze Tinte","Purple ink, black ink","Stefan Zweig, Alexei Krawtschenko, Abraham Efross",,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.35,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,"Alexei Krawtschenko, Abraham Efross",http://d-nb.info/gnd/119007762; http://d-nb.info/gnd/115846638,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript und Manuskript, 1 Blatt","1 letter, typescript and manuscript, 1 leaf",,,"4, Juni 1930","4, Juni 1930",,,1930-06-04,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"Violettes Farbband, violette Tinte","Purple ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.36,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Friderike",http://d-nb.info/gnd/118637460,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1931-01-08,8.I.1931,Salzburg,,Monsieur et Mme. |Frans Masereel |Paris |15 rue Hégésippe Moreau,FRA,"Ansichtspostkarte: ""Museum der bildenden Künste zu Leipzig – F. v. Olivier, Das Kapuzinerkloster bei Salzburg""","Picture postcard: ""Museum der bildenden Künste zu Leipzig – F. v. Olivier, Das Kapuzinerkloster bei Salzburg""",Blaue Tinte,Blue ink,Friderike Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.37,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,"Stefan Zweig, Pauline Masereel",http://d-nb.info/gnd/118637479; http://d-nb.info/gnd/116834609,"Unterschrift ""Stéfan et Fréderique"" von der Hand Friderike Zweigs","Signature ""Stéfan et Fréderique"" written by Friderike Zweig",,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,23. März 1931,23. März 1931,,,1931-03-23,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"Violettes Farbband, violette Tinte","Purple ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.38,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,13. Juni 1931,13. Juni 1931,,,1931-06-13,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"Violettes Farbband, violette Tinte, schwarze Tinte","Purple ribbon, purple ink, black ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.39,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,18. Juni 1931,18. Juni 1931,,,1931-06-18,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"Violettes Farbband, violette Tinte","Purple ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.40,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,1. August 1931.,1. August 1931.,,,1931-08-01,,Thumersbach,,,GER,Schreibmaschinenpapier,Typewriter paper,"Violettes Farbband, violette Tinte","Purple ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.41,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,11. August 1931-,11. August 1931-,,,1931-08-11,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"Violettes Farbband, violette Tinte","Purple ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.42,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Postkarte, Typoskript, 1 Blatt","1 postcard, manuscript, 1 leaf",,,22.8.1931,22.8.1931,,,1931-08-22,,Salzburg,,Herrn |Frans Masereel |Maison du Calvaire |Equihen par Outreau |Pas de Calais,GER,Postkarte,Postcard,"Violettes Farbband, schwarze Tinte","Purple ribbon, black ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.43,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,"Ursprünglich angegebene Adresse ""15 rue Hégésippe Moreau | Paris"" von fremder Hand korrigiert","Original address ""15 rue Hégésippe Moreau | Paris"" corrected by third party",,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,18. September 1931,18. September 1931,,,1931-09-18,,Salzburg,,,GER,Briefpapier Stefan Zweig,Stefan Zweig stationary,"Violettes Farbband, violette Tinte","Purple ribbon, purple ink",Stefan Zweig,,http://d-nb.info/gnd/1047605287,SZ-LAS/B1.44,"Sammlung Christian Andree, Kiel",Ankauf 2017,Acquisition 2017,,,,,,
