Verfasser*in,Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datum normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,2. März 1937,2. März 1937,,,1937-03-02,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, schwarze Tinte","black ribbon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.13,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterschrift mit schwarzer Tinte
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,6. März 1937,6. März 1937,,,1937-03-06,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, rosa Farbstift","black ribbon, pink crayon",Herbert Reichner,21x28 cm; 21x18 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.14,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen und Randstriche mit rosa Farbstift; bei Blatt 2 ist ein Teil weggerissen worden; Unterschrift mit rosa Farbstift
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,8. März 1937,8. März 1937,,,1937-03-08,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, rosa Farbstift","black ribbon, red crayon, pink crayon",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.15,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen und Unterschrift mit rosa Farbstift
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,15. März 1937,15. März 1937,,,1937-03-15,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte","black ribbon, red crayon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.16,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen mit rotem Farbstift; Korrekturen durch Reichner mit schwarzer Tinte; Unterschrift mit schwarzer Tinte
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,19. März 1937,19. März 1937,,,1937-03-19,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, rosa Farbstift","black ribbon, red crayon, pink crayon",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.17,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen mit rotem Farbstift; Unterschrift mit rosa Farbstift
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,26. März 1937,26. März 1937,,,1937-03-26,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte","black ribbon, red crayon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.18,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street","Unterstreichungen mit rotem Farbstift, Anmerkung von Reichner, Herbert [?]; Unterschrift mit schwarzer Tinte"
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,30. März 1937,30. März 1937,,,1937-03-30,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, rosa Farbstift, schwarze Tinte","black ribbon, pink crayon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.19,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen mit rosa Farbstift; Unterschrift mit schwarzer Tinte
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,1. April 1937,1. April 1937,,,1937-04-01,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte","black ribbon, red crayon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.20,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichung mit rotem Farbstift; Unterschrift mit schwarzer Tinte
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,1. April 1937,1. April 1937,,,1937-04-01,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte","black ribbon, red crayon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.21,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen und Randstrich mit rotem Farbstift; Unterschrift mit schwarzer Tinte
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Kartenbrief, Typoskript, 1 Blatt","1 card letter, typescript, 1 leaf",,,2. April 1937,2. April 1937,,,1937-04-02,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte","black ribbon, red crayon, black ink",Herbert Reichner,15x15 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.22,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street","Unterstreichungen mit rotem Farbstift, Korrekturen mit schwarzer Tinte; Unterschrift mit schwarzer Tinte; Postkarten und Poststempel auf der Rückseite"
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"1 Brief, Typoskriptdurchschlag, 1 Blatt","1 letter, typescript carbon copy, 1 leaf",,,3. April 1937.,3. April 1937.,,,1937-04-03,,,London,,GER,Durchschlagpapier,Carbon copy paper,"schwarzes Durchschlagpapier, Bleistift","black carbon paper, pencil",Lotte Altmann,20x25 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.23,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,Lotte Altmann,http://d-nb.info/gnd/116001151,,,,Anmerkungen von Zweig mit Bleistift; Unterschrift von Zweig fehlt
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 4 Blatt","1 letter, typescript, 4 leaves",,,7. April 1937,7. April 1937,,,1937-04-07,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte, Bleistift","black ribbon, red crayon, black ink, pencil",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.24,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,,"Unterstreichungen und Randstriche mit rotem Farbstift; Anmerkung  auf der Rückseite von Blatt 4 mit Bleistift; Korrekturen im Text durch Reichner mit schwarzer Tinte, Unterschrift mit schwarzer Tinte"
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"1 Brief, Typoskriptdurchschlag, 2 Blatt","1 letter, typescript carbon copy, 2 leaves",,,9. April 1937,9. April 1937,,,1937-04-09,,,London,,GER,Durchschlagpapier,Carbon copy paper,schwarzes Durchschlagpapier,black carbon paper,,20x26 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.25,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,,
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 4 Blatt","1 letter, typescript, 4 leaves",,,15. April 1937,15. April 1937,,,1937-04-15,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte","black ribbon, red crayon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.26,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen und Randstriche mit rotem Farbstift; Korrekturen im Text durch Reichner mit schwarzer Tinte; Unterschrift mit schwarzer Tinte
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"1 Brief, Typoskriptdurchschlag, 2 Blatt","1 letter, typescript carbon copy, 2 leaves",,,17. April 1937.,17. April 1937.,,,1937-04-17,,,London,,GER,Durchschlagpapier,Carbon copy paper,schwarzes Durchschlagpapier,black carbon paper,,20x26 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.27,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,,
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"1 Brief, Typoskriptdurchschlag, 1 Blatt","1 letter, typescript carbon copy, 1 leaf",,,27. April 1937.,27. April 1937.,,,1937-04-27,,,London,,GER,Durchschlagpapier,Carbon copy paper,schwarzes Durchschlagpapier,black carbon paper,,20x26 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.28,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,,
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,29. April 1937,29. April 1937,,,1937-04-29,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte","black ribbon, red crayon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.29,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen und Randstriche mit rotem Farbstift; Unterschrift von Reichner doppelt mit schwarzer Tinte
"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"1 Brief, Typoskriptdurchschlag, 1 Blatt","1 letter, typescript carbon copy, 1 leaf",,,1. Mai 1937.,1. Mai 1937.,,,1937-05-01,,,London,,GER,Durchschlagpapier,Carbon copy paper,schwarzes Durchschlagpapier,black carbon paper,,20x26 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.30,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,,
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,3. Mai 1937,3. Mai 1937,,,1937-05-03,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, schwarze Tinte","black ribbon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.31,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Korrekturen durch Reichner mit schwarzer Tinte; Unterschrift mit schwarzer Tinte
"Reichner, Herbert",http://d-nb.info/gnd/116402873,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,13. Mai 1937,13. Mai 1937,,,1937-05-13,,Wien,,,GER,Schreibmaschinenpapier,Typewriter paper,"schwarzes Farbband, blaue Tinte","black ribbon, blue ink",Herbert Reichner,21x29 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.32,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"Wien, Hotel Regina",Unterschrift fehlt; Korrekturen im Text mit blauer Tinte
"Steinitz, Heinrich ",http://d-nb.info/gnd/131699091,Rechtsanwalt Dr. Heinrich Steinitz,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,13. Mai 1937.,13. Mai 1937.,,,1937-05-13,,Wien,,,GER,Schreibmaschinenpapier,Typewriter paper,"schwarzes Farbband, schwarze Stempelfarbe, blaue Tinte","black ribbon, black stamp ink, blue ink",Heinrich Steinitz,21x29 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.33,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,,Unterschrift mit blauer Tinte
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 1 Blatt","1 letter, typescript, 1 leaf",,,18. Mai 1937,18. Mai 1937,,,1937-05-18,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte","black ribbon, red crayon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.34,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichungen und Randstriche mit rotem Farbstift; Unterschrift mit schwarzer Tinte
"Reichner, Herbert",http://d-nb.info/gnd/116402873,Herbert Reichner Verlag,http://d-nb.info/gnd/10119809-7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Brief, Typoskript, 2 Blatt","1 letter, typescript, 2 leaves",,,19. Mai 1937,19. Mai 1937,,,1937-05-19,,Wien,,,GER,Briefpapier Herbert Reichner Verlag,Herbert Reichner Verlag stationery,"schwarzes Farbband, roter Farbstift, schwarze Tinte","black ribbon, red crayon, black ink",Herbert Reichner,21x28 cm,http://d-nb.info/gnd/1047605287,SZ-AAP/B1.35,Archiv Atrium Press,Ankauf Christie's London 2014,Acquisition from Christie's London 2014,,,,,"London, 49 Hallam Street",Unterstreichung mit rotem Farbstift; Korrekturen durch Reichner mit schwarzer Tinte; Unterschrift mit schwarzer Tinte
