PID,Context,"Lilien, Ephraim Mose",Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datierung normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
,,"Freund, Erich",http://d-nb.info/gnd/116774444,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6. 1. 12.,6. 1. 12.,,,1912-01-06,,,,,GER,"Ansichtspostkarte: ""Breslau. Matthiaskunst.""","Picture postcard: ""Breslau. Matthiaskunst.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.66,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"        
Dannegger, Adolf; Unbekannt/Unidentified; Unbekannt/Unidentified",http://d-nb.info/gnd/126177309; ;,,,"Wien, Kochgasse 8","Weitere Unterschrift nicht identifiziert, zwei weitere nicht identifizierte Unterschriften auf der Vorderseite."
,,"Friedmann, Wilhelm",http://d-nb.info/gnd/121382389,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,30. VII. 23,30. VII. 23,,,1923-07-30,,,,,GER,"Ansichtspostkarte: ""Kitzbühel, Tirol.""","Picture postcard: ""Kitzbühel, Tirol.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.67,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Geigy-Hagenbach, Karl",http://d-nb.info/gnd/11649591X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,8. Oct. 27,8. Oct. 27,,,1927-10-08,,,,,GER,"Ansichtspostkarte: ""Marbach a. N. Schillers Geburtshaus""","Picture postcard: ""Marbach a. N. Schillers Geburtshaus""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.68,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Germani, Elsa",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26. März 1937,26. März 1937,,,1937-03-26,,,,,GER,"Ansichtspostkarte: ""Trieste – Riviera di Barcola e Panorama""","Picture postcard: ""Trieste – Riviera di Barcola e Panorama""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.69,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Germani, Giuseppe Mario",,,,"Salzburg, Kapuzinerberg 5",Unterschrift durch nächste Karte lesbar (gleiche Schrift); Tinte teilweise verwischt.
,,"Germani, Elsa",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,20. Juli 1937,20. Juli 1937,,,1937-07-20,,,,,GER,"Ansichtspostkarte: ""Dolomiti – Val Pusteria – Monguelfo m. 1090""","Picture postcard: ""Dolomiti – Val Pusteria – Monguelfo m. 1090""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.70,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Ginzkey, Franz Karl",http://d-nb.info/gnd/118695061,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,24. 8. 14.,24. 8. 14.,,,1914-08-24,,,,,GER,"Ansichtspostkarte: ""Pernegg a. d. Mur mit Hochlantsch.""","Picture postcard: ""Pernegg a. d. Mur mit Hochlantsch.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.71,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Beim Text sind braune Flecken.
,,"Graf, Else",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26-7-27,26-7-27,,,1927-07-26,,,,,GER,"Ansichtspostkarte: ""Brasil São Paulo Avenida São João""","Picture postcard: ""Brasil São Paulo Avenida São João""",blauschwarze Tinte,blue-black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.73,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Vorderseite mit Bleistift beschriftet: ""SAU PAOLO""."
,,"Grafe, Felix",http://d-nb.info/gnd/133275752,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,19/7.14,19/7.14,,,1914-07-19,,,,,GER,"Ansichtspostkarte: ""Morteratschgletscher, Piz Bernina""","Picture postcard: ""Morteratschgletscher, Piz Bernina""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.74,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Haase, Hermann",http://d-nb.info/gnd/1019871040,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,17/7 1908.,17/7 1908.,,,1908-07-17,,,,,GER,"Ansichtspostkarte: ""Gelnhausen Villenviertel""","Picture postcard: ""Gelnhausen Villenviertel""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.75,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Harta, Felix Albrecht",http://d-nb.info/gnd/119318652,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1926-08-11,11 VIII 26,,,,GER; FRE; JPN,"Ansichtspostkarte: ""Notre-Dame de Paris. –  Détail de la façade Sud | A detail of the southern front""","Picture postcard: ""Notre-Dame de Paris. –  Détail de la façade Sud | A detail of the southern front""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.261,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Harta, Elly; unbekannt (?, Gustav); Unbekannt/Unidentified (""un peintre japonais""); Unbekannt/Unidentified",,,,"Salzburg, Kapuzinerberg 5","ebenfalls unterzeichnet von Elly Harta, drei weitere nicht identifizierte Unterschriften, eine davon beschriftet mit ""un peintre japonais""."
,,"Hella, Alzir",http://d-nb.info/gnd/132240688,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6/II/34,6/II/34,,,1934-02-06,,,,,SPA,"Ansichtspostkarte: ""La douce France | Côte d'azur | Monte-Carlo (Alpes Maritimes) | Vue prise des Jardins de Monaco""","Picture postcard: ""Côte d'azur | Monte-Carlo (Alpes Maritimes) | Vue prise des Jardins de Monaco""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.76,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Oben auf der Ansichtskarte ist die Adresse des Absenders vermerkt.
,,"Hella, Alzir",http://d-nb.info/gnd/132240688,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,13. 8. 1934,13. 8. 1934,,,1934-08-13,,,,,SPA,"Ansichtspostkarte: ""Haut-Kœnigsbourg – Le grand escalier""","Picture postcard: ""Haut-Kœnigsbourg – Le grand escalier""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.77,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Die Ansichtskarte wurde mit einem Klebestreifen geklebt.
,,"Henrici, Karl Ernst",http://d-nb.info/gnd/116717904,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1931-07-26,26. 7. 31,,,,GER,"Ansichtspostkarte: ""Lommatzsch i. Sa.""","Picture postcard: ""Lommatzsch i. Sa.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.78,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Absender schreibt auf Vorderseite weiter; Bleistift teilweise etwas verwischt.
,,"Herz, Richard",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,22. 10. 10,22. 10. 10,,,1910-10-22,,,,,GER,"Ansichtspostkarte: ""Berlin | Königl. Schauspielhaus u. Französ. Dom""","Picture postcard: ""Berlin | Königl. Schauspielhaus u. Französ. Dom""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.79,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Name auf Vorderseite mit Bleistift vermerkt.
,,"Herzfried, Oskar",http://d-nb.info/gnd/116318414,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,1913,1913,,,1913,,,,,GER,"Ansichtspostkarte: ""Felsenpartie im Reissthal""","Picture postcard: ""Felsenpartie im Reissthal""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.80,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Vorname unleserlich,first name illegible,"Wien, Kochgasse 8",Poststempel unleserlich; genaue Adresse mit Bleistift ergänzt. NICHT HERZFRIED OSKAR!
,,"Hesse, Hermann",http://d-nb.info/gnd/11855042X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,25. Sept. 22,25. Sept. 22,,,1922-09-25,,,,,GER,"Ansichtspostkarte: ""Montagnola sulla Collina d'Oro""","Picture postcard: ""Montagnola sulla Collina d'Oro""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.81,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Poststempel ist von Stuttgart, die Karte aber zeigt Montagnola sulla Collina d'Oro = Schweiz."
,,"Heuschele, Otto",http://d-nb.info/gnd/118704354,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,14. Juli 25.,14. Juli 25.,,,1925-07-14,,,,,GER,"Ansichtspostkarte: ""Kloster Maulbronn. Vordere Ansicht""","Picture postcard: ""Kloster Maulbronn. Vordere Ansicht""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.82,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Heuschele, Otto",http://d-nb.info/gnd/118704354,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23. V. 27,23. V. 27,,,1927-05-23,,,,,GER,"Ansichtspostkarte: ""Marbach a. N., Schillermuseum""","Picture postcard: ""Marbach a. N., Schillermuseum""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.83,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Hoffmann, Camill",http://d-nb.info/gnd/119361973,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,16. VII. 1912,16. VII. 1912,,,1912-07-16,,,,,GER,"Ansichtspostkarte: ""Meissen | Königl. Albrechtsburg und Dom""","Picture postcard: ""Meissen | Königl. Albrechtsburg und Dom""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.84,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Hoffmann, Irma",,,,"Wien, Kochgasse 8","Adresse durchgestrichen und neue darüber geschrieben, zweite Unterschrift von Irma Hoffmann."
,,"Hoffmann, Camill",http://d-nb.info/gnd/119361973,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,7. VI. 1923,7. VI. 1923,1923-06-07,,,,,GER,"Ansichtspostkarte: ""6. Pavillon Musée Flaubert à Croisset | Le Jardin""","Picture postcard: ""6. Pavillon Musée Flaubert à Croisset | Le Jardin""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.85,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Hoffmann, Camill",http://d-nb.info/gnd/119361973,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,12. X. 1925,12. X. 1925,,,1925-10-12,,,,,GER,"Ansichtspostkarte: ""Ticino. Vegetazione""","Picture postcard: ""Ticino. Vegetazione""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.86,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Hoffmann, Camill",http://d-nb.info/gnd/119361973,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,,15 - 6 ,,,,GER,"Ansichtspostkarte: ""Le Roussilon | 529. – Banyuls-sur-Mer- – Hallage de Bateau de Pêche""","Picture postcard: ""Le Roussilon | 529. – Banyuls-sur-Mer- – Hallage de Bateau de Pêche""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.87,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Jahr unbekannt,Year unknown,"Salzburg, Kapuzinerberg 5",
,,"Hohlfeld, Dora",https://d-nb.info/gnd/116957735,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,27. Dez. 1913,27. Dez. 1913,,,1913-12-27,,,,,GER,"Ansichtspostkarte: ""Gruß aus Parsch, Salzburg.""","Picture postcard: ""Gruß aus Parsch, Salzburg.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.234,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Absender schreibt auf Vorderseite weiter. Beschriftung Bild Vorderseite: ""Gruß aus Parsch, Salzburg""."
,,"Hornuth, Wilhelm",http://d-nb.info/gnd/117009903,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,16. Juni 1928.,16. Juni 1928.,,,1928-06-16,,,,,GER,"Ansichtspostkarte: ""Stadt- u. Dombeleuchung."" [Köln]","Picture postcard: ""Stadt- u. Dombeleuchung."" [Köln]",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.292,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,Unbekannt/Unidentified,,,,"Salzburg, Kapuzinerberg 5",Vorderseite: Stadt - u. Dombeleuchtung (Köln)
,,"Houin, Charles",http://d-nb.info/gnd/1183854846,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,31 XIIème 1909,31 XIIème 1909,,,1909-12-31,,,,,FRE,"Ansichtspostkarte: ""Bar-le-Duc. – Vue de l'ancien Château des Ducs de Bar.""","Picture postcard: ""Bar-le-Duc. – Vue de l'ancien Château des Ducs de Bar.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.88,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17",Auf Vorderseite sind vier unleserliche Poststempel (möglicherweise Abdrucke?).
,,"Hultenberg, Hugo",http://d-nb.info/gnd/1037484347,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6. Juli 1932.,6. Juli 1932.,,,1932-07-06,,,,,GER,"Ansichtspostkarte: ""Renar, Jämtland""","Picture postcard: ""Renar, Jämtland""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.89,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Tinte teilweise etwas verwischt.
,,"Hünich, Fritz Adolf",http://d-nb.info/gnd/117050296,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23. IV. 28,23. IV. 28,,,1928-04-23,,,,,GER,"Ansichtspostkarte: ""Firenze – Ponte Vecchio""","Picture postcard: ""Firenze – Ponte Vecchio""",Bleistft,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.90,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Unterschrift abgekürzt: ""F. H."""
,,"Hünich, Fritz Adolf",http://d-nb.info/gnd/117050296,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,18. VII. 29,18. VII. 29,,,1929-07-18,,,,,GER,"Ansichtspostkarte: ""Berneck""","Picture postcard: ""Berneck""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.91,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Hünich, Wolfgang",http://d-nb.info/gnd/1194209866,,,"Salzburg, Kapuzinerberg 5","Zweite Unterschrift ""Wolfgang"" (Sohn Fritz Hünichs), auch auf der Vorderseite ist ein Poststempel."
,,"Hünich, Fritz Adolf",http://d-nb.info/gnd/117050296,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,10. IV. 30,10. IV. 30,,,1930-04-10,,,,,GER,"Ansichtspostkarte: ""Lago Maggiore, Brissago""","Picture postcard: ""Lago Maggiore, Brissago""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.92,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Unterschrift und teilweise Adresse ausgeblichen; beginnt wie beim vorigen Brief ""Lieber Freund, endlich einmal …""."
,,"Hyrkan, Tóni Devora",http://d-nb.info/gnd/1032027282,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,4. Dez. 33,4. Dez. 33,,,1933-12-04,,,,,GER,"Ansichtspostkarte: ""Berg Tabor | Mount Tabor | Le mont Tabor""","Picture postcard: ""Berg Tabor | Mount Tabor | Le mont Tabor""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.93,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Kalckreuth, Frederic Lewis Dunbar von",http://d-nb.info/gnd/116268700,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,4. I. 1933,4. I. 1933,,,1933-01-04,,,,,GER,"Ansichtspostkarte: ""Pension und Café Alpenglühen – Berchtesgaden, Salzberg""","AnPicture postcard: ""Pension und Café Alpenglühen – Berchtesgaden, Salzberg""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.94,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Key, Ellen",http://d-nb.info/gnd/11893449X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,20. VI 08.,20. VI 08.,,,1908-06-20,,,,,GER,"Ansichtspostkarte: ""Kastelruth (1095m) mit Schlern (2565m), Tirol.""","Picture postcard: ""Kastelruth (1095m) mit Schlern (2565m), Tirol.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.95,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Schultz, Leonore; Bargsma, ?",,,,"Wien, Kochgasse 8","Zusätzlich ein zweites längeres Grußwort, unterzeichnet mit ""Leonore"" (nicht identifiziert), wahrscheinlich ein dritter Gruß, unterzeichnet mit ""Bergsma""/""Bargsma"" (nicht identifiziert)."
,,"Kiefer, Jenny",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,31. 9. 32.,31. 9. 32.,,,1932-09-01,,,,,GER,"Ansichtspostkarte: ""Hotel Moserboden, 1968 m. gegen Großes Wiesbachhorn, 3570m.""","Picture postcard: ""Hotel Moserboden, 1968 m. gegen Großes Wiesbachhorn, 3570m.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.96,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Datum passt nicht zusammen: laut Absender 31.9.32 und laut Poststempel 2.IX.32.
,,"Klammer, Karl",http://d-nb.info/gnd/119549832,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3/6.9.,3/6.9.,,,1909-06-03,,,,,GER,"Ansichtspostkarte: ""Lwów | Fasada Kaplicy Boimów.""","Picture postcard: ""Lwów | Fasada Kaplicy Boimów.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.97,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17",Grüße auf der Vorderseite.
,,"Klammer, Karl",http://d-nb.info/gnd/119549832,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,15/III 1913,15/III 1913,,,1913-03-15,,,,,GER,"Ansichtspostkarte: ""Brody | Austryaeka granica do Rossyi – Oesterreichische Grenze nach Russland""","Picture postcard: ""Brody | Austryaeka granica do Rossyi – Oesterreichische Grenze nach Russland""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.98,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Durchstreichungen und Ausbesserungen im Text.
,,"Korten, Maria",http://d-nb.info/gnd/1078476489,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1932-07-18,18. VII. 32,,,,GER,"Ansichtspostkarte: ""Imst Gesamtansicht""","Picture postcard: ""Imst Gesamtansicht""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.100,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Absenderin schreibt auf der Vorderseite weiter.
,,"Korten, Maria",http://d-nb.info/gnd/1078476489,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,,21. ?? ??,,,,GER,"Ansichtspostkarte: ""Klosterneuburg Blick von der Terrasse des Stiftskellers ins Kierlingertal""","Picture postcard: ""Klosterneuburg Blick von der Terrasse des Stiftskellers ins Kierlingertal""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.99,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Jahr und Monat unbekannt,Year and month unknown,"Salzburg, Kapuzinerberg 5",Datum am Poststempel schwer leserlich; Bleistift teilweise verwischt.
,,"Kutscher, Artur",http://d-nb.info/gnd/118725645,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,5/11 12,5/11 12,,,1912-11-05,,,,,GER,"Ansichtspostkarte: ""Kgl. Universität München. Altbau Ludwigstrasse.""","Picture postcard: ""Kgl. Universität München. Altbau Ludwigstrasse.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.103,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Datum vom Poststempel ist einen Tag später (06.11.1912).
