szdper_id,name,gnd,entscheidung,grund,szdorg_id,quelle
,"Bibliothèque Nationale, Paris",5156217-0,org,im Bestand als orgName mit GND geführt,SZDORG.11,Bestand
,"Canadian Authors’ Association, Toronto",815085-0,org,im Bestand als orgName mit GND geführt,SZDORG.12,Bestand
,Cassell and Company Ltd.,251858-2,org,im Bestand als orgName mit GND geführt,SZDORG.13,Bestand
,Das Tagebuch,1220936316,org,im Bestand als orgName mit GND geführt,SZDORG.14,Bestand
,David H. Lowenherz,38379-X,org,"Standortindex SZDSTA, SZDSTA.38",SZDORG.15,SZDSTA
,Deutsches Literaturarchiv Marbach,10155895-8,org,"Standortindex SZDSTA, SZDSTA.42",SZDORG.16,SZDSTA
,Dokumentations- und Forschungszentrum des Deutschen Chorwesens,4646846-8,org,"Standortindex SZDSTA, SZDSTA.29",SZDORG.17,SZDSTA
,Dokumentationsstelle für neuere österreichische Literatur im Literaturhaus,2057272-4,org,"Standortindex SZDSTA, SZDSTA.10",SZDORG.18,SZDSTA
,E. P. Tal & Co.,1073075974,org,im Bestand als orgName mit GND geführt,SZDORG.19,Bestand
,Erste Donau-Dampfschiffahrts-Gesellschaft,1056582-6,org,im Bestand als orgName mit GND geführt,SZDORG.20,Bestand
,Fondation Martin Bodmer,1019332-7,org,"Standortindex SZDSTA, SZDSTA.4",SZDORG.21,SZDSTA
,"Goethe-Museum Düsseldorf, Anton-und-Katharina-Kippenberg-Stiftung",2012581-1,org,"Standortindex SZDSTA, SZDSTA.30",SZDORG.22,SZDSTA
,Herbert Reichner Verlag,10119809-7,org,im Bestand als orgName mit GND geführt,SZDORG.24,Bestand
,Insel-Verlag,43217-9,org,im Bestand als orgName mit GND geführt,SZDORG.25,Bestand
,Institut et Musée Voltaire,40303-9,org,"Standortindex SZDSTA, SZDSTA.33",SZDORG.26,SZDSTA
,Internationale Stiftung Mozarteum,37019-8,org,"Standortindex SZDSTA, SZDSTA.36",SZDORG.27,SZDSTA
,Library of Congress,35626-8,org,"Standortindex SZDSTA, SZDSTA.28",SZDORG.30,SZDSTA
,Literaturarchiv Salzburg,1047605287,org,"Standortindex SZDSTA, SZDSTA.1",SZDORG.31,SZDSTA
,London Library,35655-4,org,"Standortindex SZDSTA, SZDSTA.19",SZDORG.32,SZDSTA
,Metro-Goldwin-Mayer Pictures,10290848-5,org,im Bestand als orgName mit GND geführt,SZDORG.33,Bestand
,Meulenhoff en Co.,142661-8,org,im Bestand als orgName mit GND geführt,SZDORG.34,Bestand
,"Ministry of Information, London",5130410-7,org,im Bestand als orgName mit GND geführt,SZDORG.35,Bestand
,Österreichische Nationalbibliothek,2020893-5,org,"Standortindex SZDSTA, SZDSTA.43",SZDORG.37,SZDSTA
,Österreichisches Bundesministerium für Unterricht,1008405-8,org,im Bestand als orgName mit GND geführt,SZDORG.39,Bestand
,Reed Library – Stefan Zweig Collection,2156743-8,org,"Standortindex SZDSTA, SZDSTA.2",SZDORG.40,SZDSTA
,Schweizerisches Vereinssortiment Olten,2021755-9,org,im Bestand als orgName mit GND geführt,SZDORG.41,Bestand
,Societe des Auteurs & Compositeurs Dramatiques,5158511-X,org,im Bestand als orgName mit GND geführt,SZDORG.42,Bestand
,Société Nouvelle de l’Encyclopédie Française,1090480520,org,im Bestand als orgName mit GND geführt,SZDORG.43,Bestand
,Staatsbibliothek zu Berlin - Preußischer Kulturbesitz,5036103-X,org,"Standortindex SZDSTA, SZDSTA.27",SZDORG.44,SZDSTA
,"Stanford University, Memorial Library of Music",5069027-9,org,"Standortindex SZDSTA, SZDSTA.34",SZDORG.45,SZDSTA
,Stefan Zweig Zentrum,10368864-X,org,"Standortindex SZDSTA, SZDSTA.11",SZDORG.46,SZDSTA
,Stiftung Händel-Haus Halle,16008856-2,org,"Standortindex SZDSTA, SZDSTA.41",SZDORG.47,SZDSTA
,Stonehill Ltd.,16314757-7,org,im Bestand als orgName mit GND geführt,SZDORG.48,Bestand
,The British Library,4472698-3,org,"Standortindex SZDSTA, SZDSTA.5",SZDORG.49,SZDSTA
,The H. W. Wilson Company,5213357-6,org,im Bestand als orgName mit GND geführt,SZDORG.50,Bestand
,The Morgan Library & Museum,10156282-2,org,"Standortindex SZDSTA, SZDSTA.6",SZDORG.52,SZDSTA
,The National Library of Israel,1004728-1,org,"Standortindex SZDSTA, SZDSTA.3",SZDORG.53,SZDSTA
,Theatermuseum,1033329-0,org,"Standortindex SZDSTA, SZDSTA.23",SZDORG.55,SZDSTA
,Thomas-Mann-Archiv an der ETH-Bibliothek,2024553-1,org,"Standortindex SZDSTA, SZDSTA.7",SZDORG.56,SZDSTA
,Universitätsbibliothek Basel,2023655-4,org,"Standortindex SZDSTA, SZDSTA.9",SZDORG.57,SZDSTA
,Universitätsbibliothek Mozarteum,5299663-3,org,"Standortindex SZDSTA, SZDSTA.21",SZDORG.58,SZDSTA
,Universitätsbibliothek Rostock,25968-8,org,"Standortindex SZDSTA, SZDSTA.39",SZDORG.59,SZDSTA
,Wienbibliothek im Rathaus,10144442-4,org,"Standortindex SZDSTA, SZDSTA.8",SZDORG.64,SZDSTA
,Zentralbibliothek Zürich,1012546-2,org,"Standortindex SZDSTA, SZDSTA.22",SZDORG.66,SZDSTA
,"Privatbesitz, Deutschland",,keine-koerperschaft,"Privatbesitz, keine Körperschaft, SZDSTA.12 bleibt im Standortindex",,SZDSTA
,"Privatbesitz, Österreich",,keine-koerperschaft,"Privatbesitz, keine Körperschaft, SZDSTA.13 bleibt im Standortindex",,SZDSTA
,"Privatbesitz, Frankreich",,keine-koerperschaft,"Privatbesitz, keine Körperschaft, SZDSTA.14 bleibt im Standortindex",,SZDSTA
,"Privatbesitz, Großbritannien",,keine-koerperschaft,"Privatbesitz, keine Körperschaft, SZDSTA.15 bleibt im Standortindex",,SZDSTA
,"Privatbesitz, Schweiz",,keine-koerperschaft,"Privatbesitz, keine Körperschaft, SZDSTA.16 bleibt im Standortindex",,SZDSTA
,Erben Stefan Zweigs,,keine-koerperschaft,"Erbengemeinschaft, keine Körperschaft, SZDSTA.18 bleibt im Standortindex",,SZDSTA
,"Privatbesitz, USA",,keine-koerperschaft,"Privatbesitz, keine Körperschaft, SZDSTA.24 bleibt im Standortindex",,SZDSTA
